user_id,username,password
55cf368c-79e6-47dd-86a7-f64a61d8ee4f,michael72,&6D7AKQyeX
4a47f5b5-aaa1-48ef-b476-5f02a9051e80,kimberly17,(1rtYCvAiX
0100652d-3aa6-4873-b791-35245b95f066,loretta08,QJ3RhW2h$P
5653f1da-d600-4a21-bedf-faa2dfc40005,michaelcarter,Z#7D2tuUc^
e0738fb5-3e25-4b9d-a1cc-3daa17927983,perezmatthew,#(eHz6JqwI
f97a4593-590d-423a-9752-16038ea912bc,angelaperez,F$0cQ2GeHa
d9b50c59-adda-4c9c-98f8-4c0fc0df4372,nathanbarnett,%!d7tRXvN8
5f94f57c-1082-4fa6-b778-059aeb64e4b2,karen77,nWO3@mNC#5
727d2c62-a181-4b59-903c-0a2f7daf68e1,kevin43,&W@irQfsJ7
d97ca04a-829b-4e8f-9054-3ee1402bbf6d,ryan91,191sK@Nip$
2d5455fe-6a40-4fdd-8ee9-5d4e8d48a936,reidjohn,euY0yFLtF)
a53602cc-2748-4f1d-b55f-081ac743375c,elliottbetty,4R3Um8k5e@
5baf87b5-2ac9-4c88-9955-65aa95067091,alexanderbrittany,^14HtdMrqv
e58bb5eb-d654-4dda-bb6e-decbb1d7d816,grimesjennifer,vLH8ZVkH&)
fc635253-010a-42b7-ba0d-3ad4503c012a,brian12,aYgPPIal!8
9da61e73-f168-4b5e-aca7-8dcbf137ea07,rachaelandrews,F&2Mcvzh3G
fbe408aa-56c2-4061-8e24-c6ace7b55a36,carrie96,@!4dB__jc+
ea5aabc1-f49f-4e79-a3a3-a7305a44a0d4,debbie50,&TR5XghJP8
cc1a737e-210b-4eaf-9d00-a7d9d6d02c01,hebertkevin,V7HN!!0h*Z
11aa5790-988a-4329-9354-79abffe89912,mmccoy,WQ(1AQfIve
721b043a-d51d-4c5e-ba7f-432180f22db6,lindajensen,Edl9avNDS_
14dc3257-07a6-405e-8a6f-0e6fba461fc9,blake99,D!So1BbndY
b64d7c5b-9942-4b96-a855-f59c86e4d5fc,rwerner,y(Zo3A&nvx
d61dc37a-9774-4c3f-8485-1d92a77b28a3,thomaskelly,E5J+&TDa!J
